Field=Currency5~String~Currency5~100|Field=DateOfPrice5~String~DateOfPrice5~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer5~String~Manufacturer5~100|Field=OtherParams~String~OtherParams~100|Field=Quantity~Integer~Quantity~100|Field=Reference5~String~Reference5~100|Field=Supplier5~String~Supplier5~100|Field=Typ5~String~Typ5~100|Field=Value~String~Value~100|Field=Price1~String~Price1~100|Field=ProjectName~String~ProjectName~100|Field=Descript~String~Descript~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LPGDetA1.PrjPCB|ReportField=ProjectFullPath~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1.PrjPCB|ReportField=Title~BOM For Variant [4-20mA] of Project [LPGDetA1.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~90|ReportField=ReportTime~19:24:49|ReportField=ReportDate~2013-01-26|ReportField=ReportDateTime~2013-01-26 19:24:49|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~4-20mA|ReportField=VariantComment~Wyjsciem jest zrodlo pradowe 4-20mA|ReportField=Nazwa_projektu~Detektor gazów LPG|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2013-01-26|ReportField=CurrentTime~19:24:37|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1_main.SchDoc|ReportField=DocumentName~LPGDetA1_main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=LotOfPieces~1|ReportField=MineMounted~|ReportField=ModifiedDate~2013-01-13|ReportField=Organization~|ReportField=ProjectName~LPGDetA1.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Subtitle0~Schemat glowny|ReportField=Subtitle1~|ReportField=Subtitle2~|ReportField=SVNPath~|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LPGDetA1.PrjPCB|ReportField=DataSourceFullPath~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1.PrjPCB
PLN|2012-11-24|J6, J7|Wago256-401x3[[/\]]15x15|Wago||2|256-401 (3szt.) +256-100(1szt.)|soselectronic.pl|256-401x3, 256-100|Wago256-401x3|2,3056|LPGDetA1.PrjPCB|z³¹czka do p³ytek drukowanych 45° 2,5mm2 16A RM5 1P/2pin szary, 3 tory plus scianka
PLZ|2012-09-18|J8|WF02S[[/\]]WF02S|||1|WF02S-LF|maritex.com.pl||WF02S||LPGDetA1.PrjPCB|connector 2,54 pitch, SMD, 2 pole, straight, male
PLN|2012-12-18|L1u|CAX-0.4-39[[/\]]17.8x12.8x20[[/\]]CAX-0.4-39|Talema|CAX-0.4-39|1|CAX-0.4-39|tme.pl|CAX-0.4-39|CAX-0.4-39|3,4900|LPGDetA1.PrjPCB|Common mode choke 2x39muH, 0.4A
PLN|2012-07-17|L2u, L3u|BLM31P500SPT[[/\]]1206[[/\]]BLM31P500SPT|Murata|BLM31P500SPT|2|BLM31P500SPT|tme.pl|BLM31PG500SN1L|BLM31P500SPT||LPGDetA1.PrjPCB|Ferrite bead SMD, 1206, 3A, 0,025ohm
PLN|2013-01-03|R1c, R1o, R5o, R10c, R12o|0805WAF10KT5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]10k 1%|Royal Ohm|10k 1%|5|SMD0805-10K-1%|tme.pl|0805WAF 10K T5E|0805WAF10KT5E|0,018|LPGDetA1.PrjPCB|Resistor 10kohm, 0805, 1%
PLN|2012-09-19|R2c, R3c, R4c, R5c, R7c|0805WAF 220R T5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]220R 1%|Royal Ohm|220R 1%|5|SMD0805-220R-1%|tme.pl|0805WAF 220R T5E|0805WAF 220R T5E|0,018|LPGDetA1.PrjPCB|Resistor 220ohm, 0805, 1%
PLN|2012-11-24|R2o, R6o|0805WAF 2K4 T5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]2k4 1%|Royal Ohm|2k4 1%|2|SMD0805-2K4-1%|tme.pl|0805WAF 2K4 T5E|0805WAF 2K4 T5E|0,029|LPGDetA1.PrjPCB|Resistor 2.4kohm, 1%, 0.125W, 0805
PLN|2012-09-19|R2u|0805WAF 200R T5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]200R 1%|Royal Ohm|200R 1%|1|SMD0805-200R-1%|tme.pl|0805WAF 200R T5E|0805WAF 200R T5E|0,018|LPGDetA1.PrjPCB|Resistor 200ohm, 1%, 0805
PLN|2012-11-24|R3o, R4o, R6c, R10o|0805WAF 30R T5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]30R 1%|Royal Ohm|30R 1%|4|SMD0805-30R-1%|tme.pl|0805WAF 30R T5E|0805WAF 30R T5E|0,029|LPGDetA1.PrjPCB|Resistor 30ohm, 0805, 1%
PLN|2012-11-24|R3u|0805WAF 120R T5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]120R 1%|Royal Ohm|120R 1%|1|SMD0805-120R-1%|tme.pl|0805WAF 120R T5E|0805WAF 120R T5E|0,029|LPGDetA1.PrjPCB|Resistor 120ohm, 0805, 1%
PLN|2012-11-24|R7o|0805WAJ 0R T5E[[/\]]0805[[/\]]0.125W[[/\]]0.1R[[/\]]0R|Royal Ohm|0R|1|SMD0805-0R|tme.pl|0805WAJ 0R T5E|0805WAJ 0R T5E|0,025|LPGDetA1.PrjPCB|Resistor 0 ohm, SMD, 0805
PLN|2012-09-20|R8c, R9o|0805WAF 100K T5E[[/\]]0805[[/\]]0.125W[[/\]]1%[[/\]]100k 1%|Royal Ohm|100k 1%|2|SMD0805-100K-1%|tme.pl|0805WAF 100K T5E|0805WAF 100K T5E|0,017|LPGDetA1.PrjPCB|Resistor 100kohm, 0805, 1%
PLN|2012-11-24|R9c|0805WAJ 510R T5E[[/\]]0805[[/\]]0.125W[[/\]]5%[[/\]]510R|Royal Ohm|510R|1|SMD0805-510R|tme.pl|0805WAJ 510R T5E|0805WAJ 510R T5E|0,025|LPGDetA1.PrjPCB|Resistor 510 ohm, 0805, 5%
